country,country_code,indicator,indicator_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
South Africa,ZAF,GDP,NY.GDP.MKTP.KD,2.21692E+11,2.27678E+11,2.36103E+11,2.43065E+11,2.54136E+11,2.67547E+11,2.8254E+11,2.97685E+11,3.07184E+11,3.0246E+11,3.11654E+11,3.21529E+11,3.29233E+11,3.37416E+11,3.42187E+11,3.4671E+11,3.49014E+11,3.53055E+11,3.58552E+11,3.59484E+11,3.37307E+11,3.53696E+11,3.60975E+11,3.63885E+11,3.65831E+11
South Africa,ZAF,inflation,NY.GDP.DEFL.KD.ZG,9.182191416,7.800474963,12.53795791,6.395763587,6.04217159,5.597009781,6.064637015,8.245764766,7.850331729,8.663041832,6.128432432,5.539056432,4.685206388,5.844111401,5.366546185,5.545528123,6.952171961,5.473321975,3.993295085,4.613524691,5.391394335,6.408442941,5.240966696,4.722302433,3.916921003
South Africa,ZAF,scl_enrol,SE.TER.ENRR,17.94472348,17.94472348,17.94472348,17.94472348,17.94472348,17.94472348,17.94472348,17.94472348,17.94472348,17.94472348,17.94472348,17.94472348,17.94472348,18.60882253,18.48133564,19.03329495,18.92929803,21.09029096,22.35154252,22.24424651,22.61487426,22.343129,23.72710362,23.4937688,23.4937688
South Africa,ZAF,unemployment,SL.UEM.TOTL.NE.ZS,29.88,25.37,27.18,27.12,24.67,23.84,22.62,22.33,22.407,23.523,24.683,24.639,24.727,24.561,24.89,25.149,26.536,27.035,26.906,28.468,29.217,34.007,33.268,32.098,32.279
South Africa,ZAF,life_exp,SP.DYN.LE00.IN,58.368,57.161,55.58,54.245,53.963,53.914,54.22,54.948,55.982,57.413,58.886,60.602,61.737,62.388,63.184,64.053,64.749,65.422,65.726,66.071,65.15,62.01,65.454,66.139,66.139
South Africa,ZAF,pov_hd_count,SI.POV.NAHC,38,38,38,38,38,66.6,66.6,66.6,62.1,62.1,53.2,53.2,53.2,53.2,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5
South Africa,ZAF,population,SP.POP.TOTL,47159719,47566800,48019415,48500348,48991421,49490033,49998277,50528584,51114599,51728516,52344051,52995205,53782567,54678791,55594838,56723537,57259551,57635162,58613001,59587885,60562381,61502603,62378410,63212384,64007187
South Africa,ZAF,FDI,BX.KLT.DINV.WD.GD.ZS,0.638427514,5.368345298,1.146357269,0.397492744,0.274199791,2.257818745,0.205125539,1.977557722,3.126866143,2.312174703,0.884904612,0.903381424,1.064922495,2.053580952,1.519327438,0.438735792,0.684612553,0.539673957,1.374291172,1.314077523,0.933073684,9.680980227,2.266702777,1.012737792,0.58089171
Botswana,BWA,GDP,NY.GDP.MKTP.KD,8491986059,8513264764,9029979997,9447697368,9703335214,10145481816,10994036837,11630872553,12009117014,10310519328,11353915358,12130342700,12109617149,13454136663,14220638233,13530748845,14505561464,15102375176,15734967213,16212015762,14796887965,16560125448,17468616756,18029021881,17489977782
Botswana,BWA,inflation,NY.GDP.DEFL.KD.ZG,14.17096691,8.312825,1.187370696,3.259084372,10.07878865,15.47170657,5.15439836,6.029197651,9.372730256,15.10893375,7.685492244,12.6534473,3.011796554,1.53204506,9.601547879,3.730305856,11.90491113,-2.649933209,0.056621886,0.508004101,4.378866817,8.381543871,14.61767672,1.739003859,2.781174942
Botswana,BWA,scl_enrol,SE.TER.ENRR,6.980830193,7.486780167,7.803410053,9.079600334,9.568779945,9.230779648,10.06980991,10.22327995,14.26593971,21.9871006,19.53989029,17.51345062,21.66636086,26.33709908,24.83556485,26.86929255,22.66058553,21.47628852,21.47628852,21.49654802,22.40178705,21.2032905,20.70956137,20.56582325,21.40879085
Botswana,BWA,unemployment,SL.UEM.TOTL.NE.ZS,15.88,18.54,18.54,23.8,23.8,23.8,17.782,17.782,17.782,16.169,17.86,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.094,21.017,23.106,23.615,23.381,24.433
Botswana,BWA,life_exp,SP.DYN.LE00.IN,52.263,52.21,52.373,52.851,53.573,54.386,55.112,56.735,57.661,58.297,59.137,59.715,60.384,61.217,62.167,63.215,64.32,65.42,66.371,67.167,67.643,63.303,68.749,69.163,69.163
Botswana,BWA,pov_hd_count,SI.POV.NAHC,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,19.3,19.3,19.3,19.3,19.3,19.3,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1
Botswana,BWA,population,SP.POP.TOTL,1677382,1712254,1744763,1775736,1807146,1839877,1874516,1911201,1949970,1990673,2033111,2073535,2108617,2140682,2172044,2203273,2234776,2266747,2299141,2332083,2365894,2401441,2439892,2480244,2521139
Botswana,BWA,FDI,BX.KLT.DINV.WD.GD.ZS,0.987700169,0.558884524,7.501518584,5.565281275,4.363836574,4.242949051,4.908814694,4.68081345,4.854404973,2.062560052,1.728061348,1.94040749,1.050401065,0.470417841,3.330197309,2.797732675,0.944944817,1.617960929,1.678933864,0.559653498,0.212513875,-1.701614702,3.492047052,3.820113181,2.408334799
Namibia,NAM,GDP,NY.GDP.MKTP.KD,5607973667,5674032720,5945742924,6197830194,6958275951,7134269026,7638888382,8049405616,8262699735,8287154923,8787636884,9235045192,9702493818,10247261643,10871578022,11335161084,11338991739,11222512163,11341464002,11246291862,10335184546,10707646944,11285723333,11787126127,12224610620
Namibia,NAM,inflation,NY.GDP.DEFL.KD.ZG,11.28112665,11.20376436,10.00360169,1.271107872,2.040252803,5.598081585,9.406585813,9.286434294,10.96141241,6.945404289,3.725898499,3.814876362,11.26030847,4.039790894,8.234891799,3.864574351,7.968672012,9.919036989,4.428488941,0.926315844,4.631530615,1.53433033,6.416744521,6.598878225,3.250152915
Namibia,NAM,scl_enrol,SE.TER.ENRR,7.402699947,7.402699947,6.050169945,6.391029835,6.391029835,7.107049942,6.752779961,6.752779961,9.493689537,9.493689537,9.493689537,9.493689537,16.90486031,17.46039998,18.46530693,19.6551505,21.43670362,22.48017555,23.70016904,25.89665112,25.98704841,26.60573457,26.10926547,26.10926547,26.10926547
Namibia,NAM,unemployment,SL.UEM.TOTL.NE.ZS,20.3,20.3,20.3,20.3,22.09,22.09,22.09,22.09,22.09,22.09,22.12,22.12,16.771,19.028,18.521,18.521,23.352,23.352,19.877,19.877,19.877,19.877,19.877,19.877,19.877
Namibia,NAM,life_exp,SP.DYN.LE00.IN,52.946,51.98,51.988,51.918,52.175,52.557,53.183,54.026,54.74,55.347,56.093,56.647,57.733,58.468,59.311,60.008,60.81,61.661,62.579,63.546,64.071,60.85,64.19,67.385,67.385
Namibia,NAM,pov_hd_count,SI.POV.NAHC,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,28.7,28.7,28.7,28.7,28.7,28.7,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4
Namibia,NAM,population,SP.POP.TOTL,1818647,1857048,1889970,1917464,1942082,1966582,1991888,2018600,2047056,2077394,2109811,2146325,2194654,2252508,2312139,2374300,2439213,2506853,2577327,2650494,2728762,2810548,2889662,2963095,3030131
Namibia,NAM,FDI,BX.KLT.DINV.WD.GD.ZS,5.006097421,10.66347993,4.405144144,1.321662199,3.382574418,5.378457918,7.625776144,7.570339295,8.718353721,9.274735945,2.515253267,6.416813223,7.98613045,6.451935709,3.583221224,7.400689331,3.346147294,2.174542946,2.613530365,-0.50452813,-1.419112883,6.775134996,8.401584347,18.49081961,14.76301339
Lesotho,LSO,GDP,NY.GDP.MKTP.KD,1453365294,1505128088,1516022748,1585150007,1611976677,1667849759,1738401392,1811204149,1911244555,1887282177,1986735735,2078451680,2210102550,2249719203,2288201773,2359686725,2444845631,2368122099,2333058898,2299976266,2112391171,2160272945,2211855515,2252257816,2316549022
Lesotho,LSO,inflation,NY.GDP.DEFL.KD.ZG,6.300218252,11.47305492,14.20693244,2.438812827,9.60039256,5.922843201,9.310988481,-6.682454307,16.71982041,2.345030868,5.337110137,9.426407003,2.182048018,10.27989564,14.03515215,10.20303919,-0.292451233,2.018910238,11.72306873,3.575454469,6.548204188,3.12378243,5.530054967,-0.368097869,3.597494044
Lesotho,LSO,scl_enrol,SE.TER.ENRR,2.085510015,2.27312994,2.245009899,2.702790022,2.702790022,3.448019981,3.675369978,3.675369978,3.675369978,3.675369978,3.675369978,3.675369978,10.85284181,10.4558386,10.4168971,9.725177544,9.725177544,10.31306541,9.93844298,9.93844298,9.93844298,9.93844298,9.93844298,9.93844298,9.93844298
Lesotho,LSO,unemployment,SL.UEM.TOTL.NE.ZS,35.46,35.46,35.46,35.46,35.46,35.46,35.46,35.46,35.46,35.46,35.46,35.46,35.46,24.58,24.58,24.58,24.58,24.58,24.58,16.876,16.876,16.876,16.876,16.876,18.701
Lesotho,LSO,life_exp,SP.DYN.LE00.IN,48.783,47.153,45.95,44.921,44.039,43.611,43.182,43.66,44.304,45.055,46.045,46.93,48.235,49.547,50.786,51.83,52.908,53.874,54.638,55.249,55.133,54.209,56.812,57.375,57.375
Lesotho,LSO,pov_hd_count,SI.POV.NAHC,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,49.7,49.7,49.7,49.7,49.7,49.7,49.7,49.7
Lesotho,LSO,population,SP.POP.TOTL,2003913,2000853,1994679,1985059,1971129,1953076,1945063,1953268,1966541,1980883,1996251,2014009,2034354,2056504,2080089,2104611,2130422,2157110,2183603,2209405,2235727,2261542,2286110,2311472,2337423
Lesotho,LSO,FDI,BX.KLT.DINV.WD.GD.ZS,3.652004017,3.596341955,3.659717449,3.795748363,3.683832756,1.630955818,1.351168667,4.495417243,0.623122768,5.247206693,0.425490583,2.371601576,2.286501697,2.130338276,3.869631586,4.798094985,3.747331384,1.828066232,1.598987211,1.494648492,1.363474158,-0.512915958,-0.332065069,-1.210966568,-0.553408417
Eswatini,SWZ,GDP,NY.GDP.MKTP.KD,2367182799,2400612485,2498765078,2612175410,2706660912,2868851690,3061891254,3194095190,3240107843,3286542196,3412233861,3475009965,3617154619,3765262097,3842727914,3908217914,4023477835,4165142617,4167866439,4435938144,4304996590,4487365679,4504690089,4663821718,4802519614
Eswatini,SWZ,inflation,NY.GDP.DEFL.KD.ZG,22.39110341,8.322120039,9.102414544,5.868017865,3.905333659,6.165348695,3.548498842,5.190940957,10.30206489,10.1628469,2.940070989,5.476499433,9.196802028,6.207936017,5.737456509,5.324705218,6.764660836,4.944813704,3.293682459,1.965061702,5.165047566,0.114057725,8.8686547,6.053690479,1.355020241
Eswatini,SWZ,scl_enrol,SE.TER.ENRR,4.265820026,4.265820026,4.417319775,4.417319775,5.391880035,4.782450199,4.604279995,4.604279995,4.604279995,4.604279995,4.604279995,7.028400928,7.028400928,6.435457719,6.435457719,6.435457719,6.435457719,6.435457719,6.435457719,6.435457719,6.435457719,6.435457719,6.435457719,6.435457719,6.435457719
Eswatini,SWZ,unemployment,SL.UEM.TOTL.NE.ZS,28.24,28.24,28.24,28.24,28.24,28.24,28.24,28.24,28.24,28.24,28.24,28.24,28.24,28.24,28.24,28.24,22.718,22.718,22.718,22.718,22.718,34.153,34.153,34.61,34.61
Eswatini,SWZ,life_exp,SP.DYN.LE00.IN,47.627,46.344,45.38,44.632,43.906,43.958,44.563,45.16,45.853,46.913,48.331,49.057,50.714,52.11,53.491,54.941,56.228,57.574,58.707,59.85,59.862,58.228,63.028,64.123,64.123
Eswatini,SWZ,pov_hd_count,SI.POV.NAHC,69,69,69,69,69,69,69,69,69,63,63,63,63,63,63,63,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9
Eswatini,SWZ,population,SP.POP.TOTL,1041414,1051064,1059441,1066700,1073159,1079022,1084436,1090705,1098091,1105153,1111650,1117833,1123863,1129990,1136299,1142813,1149507,1158195,1168929,1179874,1192729,1206593,1218917,1230506,1242822
Eswatini,SWZ,FDI,BX.KLT.DINV.WD.GD.ZS,5.341742851,1.951604255,6.667788982,-2.800045233,2.5672876,-1.480023835,3.764215947,1.105646934,3.267365584,1.863883123,3.110967666,2.089988565,0.557730516,1.832464667,0.601685883,0.805945192,0.721382842,-1.291782106,0.67038104,2.771721821,0.938105324,2.347902261,0.28125561,0.608772714,1.554489063
Angola,AGO,GDP,NY.GDP.MKTP.KD,35182758020,36662544314,41672733512,43125991915,48050921278,54852422288,61347946236,69324828859,76802645841,78335311068,82482120583,85446420442,92712034533,97239220009,1.01766E+11,1.02543E+11,1.00799E+11,1.00649E+11,1.0005E+11,99845650843,95809443080,97824078558,1.01948E+11,1.03236E+11,1.07803E+11
Angola,AGO,inflation,NY.GDP.DEFL.KD.ZG,418.0189915,106.3521255,236.3457434,94.60726114,33.38232372,40.13645109,16.81441774,5.174514124,19.4273825,-14.27127858,28.67079991,29.64487914,7.112269638,3.233508038,4.081731881,-2.957345826,20.87270318,23.71280615,25.19415615,19.86588752,16.06358065,35.65369228,18.12177162,17.92923346,24.60458435
Angola,AGO,scl_enrol,SE.TER.ENRR,0.783640027,0.783640027,0.783640027,2.876209974,2.145970106,2.638560057,2.559770107,2.559770107,2.559770107,2.559770107,2.559770107,6.440041383,6.440041383,9.223397202,9.223397202,8.78320868,9.782876962,9.782876962,9.782876962,9.782876962,9.782876962,9.782876962,9.782876962,10.0493581,9.954906572
Angola,AGO,unemployment,SL.UEM.TOTL.NE.ZS,23.643,23.643,23.643,23.643,23.643,23.643,23.643,23.643,23.643,3.782,9.43,16.77,16.77,16.77,9.579,9.579,9.579,9.579,9.579,16.431,16.431,15.766,14.094,14.094,14.094
Angola,AGO,life_exp,SP.DYN.LE00.IN,46.501,47.032,47.874,50.218,51.123,52.13,52.965,54.2,55.281,56.225,57.242,58.093,58.916,59.705,60.396,61.042,61.619,62.122,62.622,63.051,63.116,62.958,64.246,64.617,64.617
Angola,AGO,pov_hd_count,SI.POV.NAHC,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3
Angola,AGO,population,SP.POP.TOTL,16194869,16747208,17327699,17943712,18600423,19291161,20015279,20778561,21578655,22414773,23294825,24218352,25177394,26165620,27160769,28157798,29183070,30234839,31297155,32375632,33451132,34532429,35635029,36749906,37885849
Angola,AGO,FDI,BX.KLT.DINV.WD.GD.ZS,9.62386615,24.0090757,10.07135573,17.58405886,8.138490328,-3.149620462,-0.064300949,-1.223122662,1.699527939,2.6990924,-3.377619279,-2.408388368,-1.020128391,-4.78350487,2.38352427,9.77951545,-0.299804386,-8.766963802,-7.212462161,-5.076494402,-3.171436208,-5.474034094,-5.028992886,-1.977863902,-1.098688117
"Congo, Dem. Rep.",COD,GDP,NY.GDP.MKTP.KD,17148631281,16788480353,17283365331,18247400739,19476978834,20671920926,21728037858,23581424222,25326856011,25470074711,27467694662,29553403849,32115268326,35206198726,37777053057,40179574490,40337814833,42048626460,44601688164,44849398935,45197173729,48103175756,52582143957,57069235865,60565728422
"Congo, Dem. Rep.",COD,inflation,NY.GDP.DEFL.KD.ZG,2630.122674,73.05971136,31.71946123,13.41545352,6.365458263,36.87340541,15.43818017,20.66037426,24.62341249,17.89344,34.70030362,3.045189267,4.734114429,5.967494525,3.071716552,-1.420882061,4.405905446,35.22276799,29.83900759,1.396962732,11.11104466,27.79204851,9.989076825,11.28602749,10.56884153
"Congo, Dem. Rep.",COD,scl_enrol,SE.TER.ENRR,4.208730221,4.208730221,4.208730221,4.208730221,4.208730221,4.208730221,4.208730221,4.203030109,5.279329777,6.26154995,6.26154995,7.558839798,7.639790058,6.372799873,6.372799873,6.372799873,5.900370121,5.900370121,5.900370121,5.900370121,6.379879951,6.379879951,6.379879951,6.379879951,6.379879951
"Congo, Dem. Rep.",COD,unemployment,SL.UEM.TOTL.NE.ZS,2.948,2.948,2.948,2.948,2.948,2.948,2.948,2.948,2.948,2.948,2.948,2.948,4.485,4.485,4.485,4.485,5.006,5.006,5.006,5.006,1.466,1.466,1.466,1.466,1.466
"Congo, Dem. Rep.",COD,life_exp,SP.DYN.LE00.IN,51.887,52.205,52.371,52.952,53.534,54.001,54.498,54.954,55.388,55.798,56.411,56.911,57.35,57.795,58.236,58.658,59.081,59.495,59.926,60.242,60.428,60.044,60.979,61.895,61.895
"Congo, Dem. Rep.",COD,pov_hd_count,SI.POV.NAHC,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,63.9,63.9,63.9,63.9,63.9,63.9,63.9,63.9,56.2,56.2,56.2,56.2,56.2
"Congo, Dem. Rep.",COD,population,SP.POP.TOTL,50507442,52132646,53750524,55343867,56997741,58775724,60615908,62477752,64390664,66412044,68563038,70849311,73254618,75789395,78403242,81035531,83956415,87083398,90047644,92947442,95989998,99148932,102396968,105789731,109276265
"Congo, Dem. Rep.",COD,FDI,BX.KLT.DINV.WD.GD.ZS,0.493452282,1.37428477,2.14937972,4.377642342,3.972162818,1.427469267,1.653960627,9.839558717,7.599185235,-1.30701676,11.34980813,6.047292156,9.629265669,4.865371091,3.909923377,2.901275151,2.415464387,2.791818529,3.016641606,2.883911327,3.208440711,2.84027556,2.001316228,3.400822698,4.107899567
Madagascar,MDG,GDP,NY.GDP.MKTP.KD,7688842733,8148653657,7137571065,7835974695,8247912168,8640170094,9106610407,9626649241,10272850830,9864124029,9925206606,10081868752,10385448753,10624353147,10979121878,11323020701,11775165457,12238318934,12629254472,13186360203,12245161113,12814644792,13347233960,13908224365,14492369788
Madagascar,MDG,inflation,NY.GDP.DEFL.KD.ZG,11.57035297,7.916944839,16.49852553,-1.704004799,13.9558018,18.36382465,10.76563716,10.28796632,7.486300276,6.929159085,10.21854103,10.38618714,5.466174863,5.452302455,6.73177081,6.503716692,8.96008073,4.961539756,8.297993311,6.522090641,4.311145136,6.26959796,9.626057337,7.465149404,7.62529916
Madagascar,MDG,scl_enrol,SE.TER.ENRR,2.02373004,1.894659996,1.928599954,2.099889994,2.440680027,2.546289921,2.746320009,3.134530067,3.235729933,3.448899984,3.610328554,3.992467571,4.049875836,4.186720053,4.685331441,4.659046522,4.658385806,5.075250581,5.118778492,5.285860062,5.173361173,5.313567867,5.87562673,6.146663846,6.146663846
Madagascar,MDG,unemployment,SL.UEM.TOTL.NE.ZS,5.8,5.35,5.35,5.01,5.01,2.62,2.62,2.62,2.62,2.62,4.28,4.28,0.599,0.599,0.599,1.785,1.785,1.785,1.785,1.785,1.785,1.785,3.186,3.186,3.186
Madagascar,MDG,life_exp,SP.DYN.LE00.IN,57.974,58.674,59.17,59.693,60.168,60.664,61.14,61.533,61.992,62.304,62.597,62.86,63.007,63.161,63.261,63.362,63.431,63.433,63.491,63.504,62.706,62.516,63.068,63.632,63.632
Madagascar,MDG,pov_hd_count,SI.POV.NAHC,70.8,70.8,80.7,80.7,72.1,73.2,73.2,73.2,73.2,73.2,71.7,71.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,75.2,75.2,75.2,75.2
Madagascar,MDG,population,SP.POP.TOTL,16516338,17032939,17549913,18071854,18606608,19159707,19730909,20318583,20923840,21547280,22183340,22822300,23462438,24109290,24764348,25426702,26099952,26788375,27494926,28219554,28953556,29691083,30437261,31195932,31964956
Madagascar,MDG,FDI,BX.KLT.DINV.WD.GD.ZS,1.791923763,1.711171986,0.273965161,0.202025724,1.044689856,1.458008037,4.607492003,9.26011531,10.57793076,13.44854279,9.138671338,7.05979215,7.036805334,4.554645311,2.977511233,2.897277275,4.564608032,3.52797151,4.447927987,3.36279831,2.746571324,2.490723381,3.052725925,2.612113385,2.372542319
Malawi,MWI,GDP,NY.GDP.MKTP.KD,4736773940,4501121160,4577640221,4838823865,5101112195,5267853576,5515442682,6044925173,6506741521,7048630103,7533157578,7904743382,8054933506,8490733601,8968360291,9219474379,9449961239,9827959688,10255826274,10842133934,10928176722,11426314940,11531564449,11755940189,11952668099
Malawi,MWI,inflation,NY.GDP.DEFL.KD.ZG,30.53395367,25.62246998,112.6936491,10.34609667,14.84662611,10.74123681,19.96725955,4.099724867,11.96466753,7.899822951,12.12722206,13.99023774,17.63976447,27.046291,20.96928131,19.81466926,20.29268293,10.57692451,6.152346986,7.728556424,6.21829712,8.152968429,17.16683039,29.0332878,24.69315063
Malawi,MWI,scl_enrol,SE.TER.ENRR,0.331539989,0.364780009,0.385289997,0.391519994,0.462709993,0.453299999,0.479409993,0.477120012,0.477120012,0.477120012,1.262258898,1.551830372,0.838820281,0.838820281,0.827777867,0.809801002,0.809801002,0.809801002,1.694240349,1.694240349,2.402173807,2.397980419,2.708136845,2.708136845,2.708136845
Malawi,MWI,unemployment,SL.UEM.TOTL.NE.ZS,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,1.736,1.736,4.978,4.978,4.978,4.978,3.77,3.77,3.77,0.907,0.907,0.907,0.907,15.406
Malawi,MWI,life_exp,SP.DYN.LE00.IN,46.17,47.205,48.176,49.601,51.073,52.469,53.652,54.687,55.715,56.714,57.787,58.859,59.87,60.816,61.651,62.324,63.163,63.914,64.464,64.995,65.216,64.782,66.037,67.353,67.353
Malawi,MWI,pov_hd_count,SI.POV.NAHC,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,50.7,50.7,50.7,50.7,50.7,50.7,51.5,51.5,51.5,50.7,50.7,50.7,50.7,50.7,50.7
Malawi,MWI,population,SP.POP.TOTL,11315942,11593058,11880440,12181574,12500737,12840031,13198701,13576343,13976417,14395788,14826463,15265022,15709577,16161816,16621538,17085587,17557739,18039715,18528081,19025752,19533888,20047258,20568728,21104482,21655286
Malawi,MWI,FDI,BX.KLT.DINV.WD.GD.ZS,1.024708103,0.772615058,0.115974414,1.410890851,2.131196008,2.625670048,0.611208219,1.928144407,2.52370279,0.545293921,0.957814621,6.977522278,-0.101285426,5.61985139,6.795413857,3.121074775,1.462729731,1.00854876,0.779538296,0.499715596,2.142682647,1.046177391,1.598886161,1.601061125,2.279636078
Mauritius,MUS,GDP,NY.GDP.MKTP.KD,6817633871,7045856941,7159641800,7583882472,7912266089,8052910022,8444727952,8928358886,9409326235,9721252645,10146771629,10560510104,10929718038,11297000949,11729333766,12162211503,12631973063,13129418116,13655479839,14050298678,12006466621,12415142571,13494399202,14170187785,14868086969
Mauritius,MUS,inflation,NY.GDP.DEFL.KD.ZG,3.409929345,6.232012515,6.219284189,5.623192591,6.84544976,3.9480997,11.26545615,8.321659221,5.492811245,-0.545773084,1.050452891,3.134108207,2.48495987,3.877373095,2.21263587,1.493989726,2.392923549,1.67581605,1.843804786,-0.523204884,2.510413688,2.967949686,8.524866045,6.134430013,3.733256833
